text,categoryNumber,categoryMeaning,firstLevel,secondLevel
"memorable smell. I remember when I read about a certain cologne in a magazine that I decided to try.  I was very excited about trying this particular cologne because of the excellent reviews it received.  I went to a department store that I frequently shop and buy all my colognes from.  I went to the sales person asked if they carried it and I was very pleased when I was told they have it in stock.  I asked if could smell it and the person handed me a tester.  I smelled the cologne and it was simply amazing!!  It really went beyond my expectations and I was pleased it smelled so unique.  It had a very fresh and clean scent to it,  and I felt refreshed and uplifted when I smelled it.  I bought the cologne and to this very day I still wear it.  That was 10 years ago.",cat10, Smell builds up and changes expectations,expecting,surprised me
"Bad Pumpkin. I was in elementary school and we were carving pumpkins. Well, it turns out my nose is not particularly fond of the smell of raw pumpkin. The exact minute the pumpkin was opened I got a whiff of the smell and ended puking as far as soon as it happened. I had to stay outside the classroom as the rest of the kids started carving up pumpkins, and from that day on I have never carved a pumpkin.",cat6, Overwhelming power of smell,hitting/shocking,traumatized me
"Mincemeat Pie: Ewww!. I was about 11 or 12 and my family was staying with friends on the other side of the state. I think it was a Sunday, and I woke up from sleeping on the couch. Nobody else was home, I think they had gone to church, and there was a terrible smell coming from the kitchen. I had no idea what it was, but I knew I had not smelled it before. It was a very pungent odor, and I felt like it was burning my nostrils. I could hardly even stand to go into the kitchen without becoming nauseous. When my parents came back I asked my Mom what the smell was and she said that her friend was making mincemeat pie. To this day I can't help but crinkle my nose up whenever I think about mincemeat pie.",cat6, Overwhelming power of smell,hitting/shocking,traumatized me
"Migraine from (Fragrance) Hell.. One day, my father used some cologne, way too much of it. About 20 minutes later, I had one of the worst migraines in my life. For some reason, a lot of fragrances give me headaches, and that particular migraine was the moment I decided to never attempt perfume ever again.",cat6, Overwhelming power of smell,hitting/shocking,traumatized me
"The Smell of Death. When I was 17, the person I was dating dies. He accidentally shot himself. I was in the room with him when it happened. I can still smell the coppery smell of his blood when I close my eyes. It has been over twenty years and it is still so clear in my mind.",cat6, Overwhelming power of smell,hitting/shocking,traumatized me
"Lemon Clorox Antibiotics. I was admitted into the hospital with an diverticulitis, a serious infection was running through my intestines.  They were trying to avoid surgery and kill the infection with antibiotics so they hooked me up, via IV, to 4 different very strong antibiotics.  It got to the point where I could smell the antibiotics coming out of my pours.  Every morning someone from housekeeping would come in and clean the floors and bathroom with lemon scented clorox.  This mixed with the antibiotics made me want to vomit.  To this day whenever I smell lemon scented clorox I almost puke.",cat6, Overwhelming power of smell,hitting/shocking,traumatized me
"Visit to a local county jail. As part of a research project, I visited a jail in a small county in Southern California, and this was my first time at a jail. My guide warned me ahead of the time that it was going to be a little foul in there, but nothing could have prepared me for the obscenely acrid stench of hundreds of men crammed into every available space of the jail, right down to windowless storage rooms converted into more cells. There was no air conditioning and it was a warm day in June, so the stink pervaded the place and seemed to envelop me and seep into my pores. For days afterwards, I couldn't shake the smell. It would come to me out of nowhere, more vivid than anything I had seen. There weren't enough showers to take it away. It's been several years since then, and my memory of that smell is just a strong as ever.",cat6, Overwhelming power of smell,hitting/shocking,traumatized me
"Shit really smell bad, very bad. I was once going out of town and there was a backward area in the way. When i was passing from that area i was passing from a bridge and under that bridge flowed all the shit of the people of that village. When we were crossing the bridge the smell of on that bridge was so disgusting and it was so intense that both me and the driver vomit on that smell and he became all right after the vomiting but for me that day was one of the worst days of my life and that smell was one of the worst. I vomited 3 times that day and i didn't ate anything that day and in my final vomit there were also some traces of blood so that smell really played a negative role in my life.",cat6, Overwhelming power of smell,hitting/shocking,traumatized me
"Cheese smell of death.. When I was younger my mom made this tuna casserole that I hated. There was always this smell associated with with it and I always associated it with  a disgusting dish. I had to sit through several of these meals and I don't think my mom understood how repulsed I am to scent. Later in life I discovered the smell came from a cheese used in the casserole. When I smelled the scent later I was stopped dead in my tracks, I refused to put the food in my mouth and I became nauseous.",cat6, Overwhelming power of smell,hitting/shocking,traumatized me
"Spearmint Memories. The first thing that comes to mind when I think of a memorable smell happened when I was in nursing school. Part of my Anatomy and Physiology class was obviously Anatomy lab. At Grand Canyon University, we were fortunate enough to be able to work with human cadavers instead of animal specimens. The smell of the dissection lab is one that I don't think anyone will ever forget. It doesn't smell like decay, it smells like formaldehyde mixed with some kind of spearmint like scent. I think they added that scent to make the formaldehyde less strong smelling, but in actuality I think it made it worse. To this day, anytime I smell spearmint, it takes me back to those days and makes me feel somewhat nauseous, even though I was never nauseous during dissection lab! I also don't like chewing spearmint gum or using toothpaste with spearmint flavoring because of it.",cat6, Overwhelming power of smell,hitting/shocking,traumatized me
"Paper Scent. I visited my brother when he lived in a small town that contained a paper mill.  This experience stands out to me because there was no getting away from the smell, nor did I become accustom to it during the course of my stay.  I am unsure how to describe the smell, I remember it being pretty unique.  There is not something that is easily compared to the smell of paper processing.",cat6, Overwhelming power of smell,hitting/shocking,overwhelmed me
"The smell of spoiled peas. My landlord canned some Mississippi Purple Hull peas about three years ago.  Last week, he gave my husband and myself many jars of vegetables that he had canned.  I gave some of the jars to my brother.  As we were going through the jars, we noticed that the tops had popped up on several of the jars.  I set these aside so we could throw the food away and wash and reuse the jars.  My husband and I planned to take the jars outside in case the food was spoiled.  We had the jars out beside the trash can to open them.  We opened the first one and the smell was horrible.  It was a combination of rotting flesh mixed with vomit.  The smell actually made me sick.  I will never forget this smell as long as I live.  The smell stayed in my nostrils for several hours, and was so bad that we could smell it inside the house even with the doors and windows shut.",cat6, Overwhelming power of smell,hitting/shocking,overwhelmed me
"Old People Stink. Walking into our local nursing home for the first time was awkward because it is such a nice building and they had told us it was full of nice old people. However, upon entering, our nostrils were assaulted with body odor and like something was rotting. Very unpleasant.",cat6, Overwhelming power of smell,hitting/shocking,overwhelmed me
"The Smell of Death and Dumps. I went to volunteer at a dump in Mexico where people were living.  I was with a team, and we went to visit people and deliver food.  The smell of the dump was so overwhelming.  It was more than just trash.  There were dead animals lying on the ground, and it just smelled like the worst thing I could ever imagine.  I felt so sick from the smell.  That had never happened to me before.  It was so disgusting.",cat6, Overwhelming power of smell,hitting/shocking,overwhelmed me
"Sometimes a dogs death is worse than a humans..... One time I was walking along a trail and I smelled something I have never smelled before, but I knew what it was the instant I smelled it.... It was death. I just knew in the pit of my stomach what it was after hearing it described so many times. As the scent grew stronger, the more I felt sick... Not knowing if the smell was human or animal, I slowly approached. When I saw the corpse, my stomach began to sink yet I let out a sigh of relief.... It wasn't human, but a dog.... A few seconds later I heard rustling and saw another dog come out of the bushes with two other dogs.... They look emaciated and somewhat wild, but you could tell they used to be housepets....They didn't pay much attention to me after they realized I wasn't a threat. I slowly backed away from them and went the opposite direction while making sure they weren't following me.... While I backed away, I saw them mourning their companion, nudging the deceased with their noses, licking and whimpering, as if guarding the body, so no one, or no thing will touch it.... It was very sad to see and broke my heart. To them, that dog was their family, especially since humans gave up on them....",cat6, Overwhelming power of smell,hitting/shocking,overwhelmed me
"Camp Cow Smell. I remember going to camp when I was a child and when i stepped out of the car I was so excited and then I was shocked, it smelled like cows really bad. I was from the suburbs and never spent time in the country like this and was not used to the smell. I couldn't think straight for the first hour and wondered how I would ever make it through the week dealing with that smell. After a few hours, i barely noticed the smell anymore.",cat6, Overwhelming power of smell,hitting/shocking,overwhelmed me
"Smelling a decaying nursing home.. When volunteering at a nursing home while I was a college student, the smell that would hit me when I walked through the doors was one that I never experienced before and I can still remember it vividly if I close my eyes and put myself back there. It was a very poor nursing home, the poorest one in a very poor city, and the smell was one of an old, stale, decaying building, mixed with whatever they were cooking, mixed with the smell of urine and feces. It would hit your nose immediately when you'd walk in the door and you would just know that you were in a very miserable place. I know that I would get used to the smell somewhat during my time in the building, the way that you normally do, but it was such a particularly bad smell that I wouldn't ever fully forget about it while I was in the building.",cat6, Overwhelming power of smell,hitting/shocking,overwhelmed me
"Century Eggs Smell Awful.. The smell of century eggs, which are those black eggs from China. They smell like something between rotten eggs, sulfur, hay, limestone, and all sorts of bad. Then when you cut them open, they have this distinctive odor of something heavy that just hangs into your nose and doesn't let go, with that sulfurous rotten-egg like smell. It's hard to describe but once you smell it, nothing else smells quite like it.",cat6, Overwhelming power of smell,hitting/shocking,overwhelmed me
"Worst smell ever. Once I smelled something really bad out side . When I looked in the street it was a dead skunk. it smelled so bad, i couldn't believe it . It was the worst smell I have ever smelled.",cat6, Overwhelming power of smell,hitting/shocking,overwhelmed me
"Stinky Tofu is no joke. My fiance and I were in Toronto and just walking around downtown. We had just left the Harbourfront and were wanting to see what Toronto's Chinatown was like. When we got there, it was very busy, and turns out that it was the Chinatown festival that particular weekend. We walked by a lot of booths that were set up, food and merchandise and other things. As we walked further, there was a horrible smell. It was like manure that had been vomited on and let sit in the sun for several days. It was so bad. I thought that maybe a sewer had backed up or something. It turns out that it was coming from a booth that was making and selling  stinky tofu.  I guess that it's popular in China, but I cannot imagine eating something that smelled so vile.",cat6, Overwhelming power of smell,hitting/shocking,overwhelmed me
"Bakersfield: The Smell of Sickness. On a family vacation to California, we spent the night in a hotel in Bakersfield. The next morning there was very poor air quality in the region, and I remember the air smelling like burnt rubber. The smell was so strong and so nauseating, I had a headache for the whole day, and I was forced to lie in bed to relieve myself of the symptoms caused by this strong smell. I tried my best to breathe through my mouth but I could not get the smell to leave my nostrils. It was without a doubt one of most unpleasant experiences in my entire life.",cat6, Overwhelming power of smell,hitting/shocking,overwhelmed me
"Ahhh, The country that smells!. I was driving out to my parents house in the country.  In the distance in the fields you could see all the tractors and farm equipment busy at work getting the fields ready.  Then it hit, the smell of liquefied pig and cow poop that they spread on the field.  The odor was so thick and strong it took your breath away.",cat6, Overwhelming power of smell,hitting/shocking,overwhelmed me
"First Day in Rendering. One of the strongest smell memories I have was when I got a job doing maintenance in a beef packing house. I was assigned to the slaughter and rendering section. I will never forget the smell when getting my first call to the rendering department. It smelled like death. It was disgusting. But it was my job, so I just had to deal with the smell and keep on working.",cat6, Overwhelming power of smell,hitting/shocking,overwhelmed me
"Hospital Anesthesia Smell Instills Terror in Young Boy.. When I was about 10 years old, I had lots of problems with my ears. I needed to have a minor operation to insert tubes in my ears so that I could hear better. I was terrified  of being put to sleep because I was afraid I would never wake up again. I remember the day of surgery I was in a hospital bed with wheels that had very high sides to it that they put children in. When it was time for surgery, they raised the sides and wheeled me away from my parents, as I cried, down a long hallway. The sides to the bed made me feel as though I was in a cage.  Then into the operating room, I was terrified. I had just been placed into a cage and wheeled away from my parents against my will, afterall. The gas that they used to knock me out is the smell I remember. I can still smell it sometimes in my life today, 20 years later. The doctor told me to count backwards from 10 and I remember getting to 9. I was fine after that, of course. But to me that smell was the smell of terror and death. I had to have the operation 2 more times after that (tubes fell out) as I got older, and I was much more mature the other times, but that smell just haunts me every time.",cat6, Overwhelming power of smell,hitting/shocking,traumatized me
"Bus. This memorable smell experience for me occurred when I was still in college. It was my first time to take a bus for a long distance travel and I had to be comfortable that's why I get on an air-conditioned bus. As soon as I step on the bus, I was greeted by a  smell that's hard to explain.  It's not a new-car smell but it similar to one in which the bus was left tightly closed while the inside is damp.  This smell threw me up and that's how I developed the fear of riding in an air-conditioned bus.",cat6, Overwhelming power of smell,hitting/shocking,traumatized me
The Horrible Smell of Sauerkraut. The first time I smelled sauerkraut was interesting to say the least.  I remember walking down the stairs to go into the kitchen and I was faced with this horrible smell.  Nothing I know smells like sauerkraut.  I don't know how people can eat it.  All I know is that I never will and I cringe whenever I'm around it.  My mood is immediately ruined when I smell it.,cat6, Overwhelming power of smell,hitting/shocking,traumatized me
"Sinus Infection Hell. When I was young I had my first sinus infection and had to take pills for it. These were the nastiest pills I've ever had, nothing like what I've taken recently for sinus infections. The pills immediately melted in your mouth and had the worst smell imaginable. Not like a rotting smell, a very chalky chemical, etc etc. I couldn't explain the smell if I tried. I had to take these pills for ten days straight. Every time the taste and SMELL made me cry and gag. To this day I can still think of the feeling and smell. Sometimes I get a phantom scent of it.",cat6, Overwhelming power of smell,hitting/shocking,traumatized me
"Gross Gatorade. I got mono in highschool, and the doctors and my parents kept giving me orange gatorade, the smell was so sweet that it would just make me sicker. Even now if I smell orange gatorade I get sick to my stomach.",cat6, Overwhelming power of smell,hitting/shocking,traumatized me
"Waste processing odor. I worked in a waste processing facility.  The absolutely horrid smell when you drove on the facilities some mornings was so overpowering, I often wanted to quit that job right there.  It was like a combination of rotten eggs in boiling vinegar.  I just think about that smell and I relive driving into that place.",cat6, Overwhelming power of smell,hitting/shocking,overwhelmed me
"Strange Shinjuku Experience. When walking in Japan, I remember walking in the streets of Shinjuku and came across a particularly disturbing smell. It was like a combination of old food, smoke, and old, rotting rubber tires. It was repulsive. Thinking about the smell makes me a little nauseated and reminds me of some disturbing music/sounds I heard while taking in the smell. It reminds me of walking down a shady street. The entire trip to Japan was absolutely perfect but this was a strange experience for me.",cat6, Overwhelming power of smell,hitting/shocking,overwhelmed me
"Hobo. I was in France backpacking with a friend. We had to go underground to catch the train, and as we came to the top of the stairs, an overwhelming odor caught us by surprise. It was horrible and smelled as if something was decaying.     It turned out to be a human being, homeless, asleep. I'm not certain to this day if he was dead or alive, but I'll never forget what I saw and I will certainly never forget gagging as we ran for our train.",cat6, Overwhelming power of smell,hitting/shocking,overwhelmed me
Worst Smell Ever. I was working in a laboratory and there was a clear liquid on the countertop. I walked past it and it was a putrid smell. It was and still is the worst smelling thing that I have ever dealt with. It turns out to be a sulfur based compound so the smell of rotten eggs was strong. I did not like it and my nose was stuffed for the rest of the day.,cat6, Overwhelming power of smell,hitting/shocking,overwhelmed me
"Old odor. Walking into an elderly retirement home I remember being overcome by the smell of old people. I don't know what it was exactly but it was there. It could be described as a stuffy hot feeling except instead of humidity it was just old age. I do not what exactly this scent was, but it was undeniable. It was like walking into the hot sun on a summer day from being in an air conditioned place.",cat6, Overwhelming power of smell,hitting/shocking,overwhelmed me
The horrid smell. When we first moved to our house just down the road there is a sewer plant. The smell was horrid and took weeks to get used to. Every time I would walk out of the house I would get a sick feeling in my stomach. Over time I've slowly got used to the smell.,cat6, Overwhelming power of smell,hitting/shocking,overwhelmed me
"smoldering. The smell of burning wood. It gets me every time. When I was seven years old our house burned down. On Christmas Eve. On the coldest winter day on record for where I lived. They were building a new fire station to be ready January 1. The next door neighbor alerted us to the fire. My mom more or less threw me out the door with a coat and started getting everyone else out. I watched it burn from across the street and didn't speak for the next two weeks, instead drawing pictures of fire (or so I've been told). It's been thirty years and yet it all comes back every single time I smell a log burning.",cat6, Overwhelming power of smell,hitting/shocking,traumatized me
"Orange Blossoms in the Night. In the 1980s, there was still a fair amount of agricultural land being farmed in the county where I live.  It was late spring and warm enough for me to be driving on the freeway with my window open.  I was focused on driving safely and was paying attention primarily to things on the freeway.  Suddenly, I smelled orange blossoms!  It was so unexpected.  I didn't expect to smell something like that while driving fast or in the dark.  I didn't even know there were orange trees in that location.  That scent memory reminds me of being in my 20s and having grown up in a county where oranges were a primary fruit harvested.  I have never smelled that again.",cat6, Overwhelming power of smell,hitting/shocking,overwhelmed me
"The Chocolate Factory. Walking into a new job at a chocolate factory.  The smell of chocolate was overwhelming.  It smelled so good, and yet it was almost too much at the same time.  It was a happy smell.",cat6, Overwhelming power of smell,hitting/shocking,overwhelmed me
"Outside and Inside. Entering Gleuk's bar in Minneapolis in the dark, clear wintertime. The smell was a mix of old steam radiators, oak paneling, wet wool coats, beer, and double bacon cheeseburgers. And people--it is full enough in there to steam up the windows, with body heat keeping the twenty below outdoors at bay, except when someone enters, then crystaline swords stab in, giving rise to the cry,  Shut the door!",cat6, Overwhelming power of smell,hitting/shocking,overwhelmed me
"Just Nasty. Negative smell - I walked into a single-stall bathroom right after a co-worker finished using it.The smell was awful, I have never experienced a smell so bad before. It is memorable because I sit two seats away from this person and every time I see her, I am reminded of the horrible smell.",cat7, Smell invading private and public space,invading,invaded public space
"Rotting carcass overwhelms everything. I was hiking in the woods with my friend and it felt like we smelled death itself. There was such a strong terrible odor and it was uncomfortable to breathe. We couldn't pinpoint where exactly the smell was coming from because it smelled so disgusting. After a few minutes of looking around, we stumbled upon a rotting deer carcass. The flesh was blue and green and it was covered in creepy bugs. I couldn't get any closer than five feet since the odor was so powerful. I have no idea how long it was sitting there for, but it was quite for a while. The carcass was the single worst thing I've ever smelled. I almost vomited, yo.",cat7, Smell invading private and public space,invading,invaded public space
"Fetal pig preservatives. In high school we had to dissect fetal pigs for my anatomy class. As soon as all the pigs were brought out, the room became filled with the stench of a preservative. It was a god-awful smell that was really in a class of its own; it smelled like overly powerful cleaning product mixed with pig, and cut open pigs everywhere didn't make the situation any more bearable. I had to to plug my nose a lot of the time, but for weeks and weeks, the smell lingered in the class room, hitting everyone hard the moment they walked in. The smell was so powerful that at times out of class, it would randomly feel like I was smelling it, and that happened for a good half of a year.",cat7, Smell invading private and public space,invading,invaded public space
The customer may be right but the stench isn't.. I work in a coffee shop. And let's just say a certain regular customer was quite odiferous. We weren't exactly sure what the smell was but it didn't smell like B.O. but we weren't sure if it was his work or something he put on himself to make himself smell like that. His smell would linger in the shop for hours afterwards and would make several of us workers feel nauseous and give us headaches. I think our boss finally had words with him or something since he no longer comes to our store. But that is one of the worst smell experiences I have ever had.,cat7, Smell invading private and public space,invading,invaded public space
"E's Nasty Room. When I was a freshman in college, my neighbor in the dorms was a strange guy. He was nice enough, but tended to keep to himself. He lived in a single, where most rooms had a double situation. But what I did remember about him was that everytime he would open his door. This awful stale odor would permeate the hallways and the lounge and basically cause a forced evacuation for all the other students. It wasn't the smell of rotting food or bad hygeine, but it was some strange chemical, sour smell that I'd be able to pick out immediately if I smelt it again years later. We were never sure what caused the smell, just that it was so identifiable.",cat7, Smell invading private and public space,invading,invaded public space
Death. I was driving down the road the other day with my windows down and passed some roadkill. The smell was absolutely revolting. The decay smell hung in the air for quite a distance.,cat7, Smell invading private and public space,invading,invaded public space
"Deadly Funk. I had just got on the bus and it was pretty crowded. My feet were tired and I just wanted to sit, but shortly after noticed a strange yet distinct smell. The smell only got worse and seemed to linger. It was the most awful smell like bad garbage and sweat mixed together but worse. It was inescapable. I couldn't breath or sit on the bus without thinking about the smell.",cat7, Smell invading private and public space,invading,invaded public space
The Bathroom Event. I remember walking into the bathroom here at work.  An older employee had just taked a massive BM in there and I was greeted with the smell.  It smelled like rotting vegetables.,cat7, Smell invading private and public space,invading,invaded public space
"Unpleasant smells from the bathroom...not ours!. We have a bathroom fan that normally keeps other smells from coming in (from other units), but the other units' fans are blowing the valve open and allowing obnoxious smells into our bathroom...very unpleasant!",cat7, Smell invading private and public space,invading,invaded private space
"Skunky Dogs. I had just returned from picking up dinner and we could hardly eat any of it because the house smelled so horrible.  I guessed the dogs had startled a skunk that had gotten under the house and the smell was coming through the floor. The smell stayed very strong throughout the evening. Later on, we were watching a movie in bed with the dogs (they like to burrow under the covers) and when I moved the cover I was hit with a huge dose of skunk. It was the dogs and they must have taken a direct hit! By now it was in my bed and on all the furniture.  We looked up all the recipes for getting rid of the skunk smell and tried most of them, both homemade and stuff we got from the vet.  It took over a week to get most of the smell out of the house and every time the dogs got wet, it was back with a vengeance. It was probably a good month before it was completely gone. My research led me to conclude that there are two kinds of dogs...those that learn from their first encounter with a skunk and those that NEVER do. Thankfully we seem to have the first kind of dogs. :)",cat7, Smell invading private and public space,invading,invaded private space
"Don't want to smell that twice!. I woke up one morning suddenly confused and was hit with an odor so horrible I couldn't figure out what it was. My first thought was something was burning but my husband came up the stairs saying it was a skunk under the porch. It was not like the smell you get a whiff of when a skunk stinks up the outdoors, no this was something so incredibly overwhelming. My dog wouldn't eat his breakfast and I had to take it outdoors before he would eat or drink. It was impossible to stay inside. We opened all the windows and doors, plugging in fans everywhere and went out to our shop behind the house to spend the day. The smell lingered for hours.",cat7, Smell invading private and public space,invading,invaded private space
"Accident at the Door.. About two years ago, my wife and I woke up around four in the morning to an awful, room encompassing smell. It was immediately clear that something awful had happened, as we began to hold our breaths since simple breathing was causing us to gag. We reached for the light and turned it on, and there it was: our dog had had an accident right next to the door. Right in front of the door, in fact, so we could not even quickly open the door to escape the smell because then the door would spread the accident and make things even worse. Between gags, we brainstormed what we could do to exit the room and acquire the cleaning products we needed. Simply opening the door was not an option since the accident was right next to it and the door opened inwards. After what seemed like an eternity, we found some folders and papers in the room that we could do without, and we used this to brush the accident aside so that we could open the door and get the cleaning materials required. We went through with cleaning and disposing of it, but we were unable to go back to sleep and the smell haunted us throughout the day.",cat7, Smell invading private and public space,invading,invaded private space
"Skunk Stink. I was riding my bicycle along a path by a local country club, lots of brush and trees.  Suddenly I came to an area when there was the strong odor of a skunk that apparently had just sprayed and the whole area smelled to high heaven.  I turned around immediately off the path but I must have brushed against the bushes where the skunk had sprayed and gotten it on myself (skin) clothing and bike.  I smelled for days and it was the most pungent, horrible stench I had ever been exposed to.  My bike still has a faint smell to it; the smell is still on the tires I think.",cat7, Smell invading private and public space,invading,invaded private space
"Sewer backup. One day when I went into my mother's house after we had been out for several hours and the house had been closed up I thought I smelled a bad smell when I was in the kitchen. I didn't listen to my intuition and couldn't find the source, so I didn't investigate any further. The next day I walked into the pantry beyond the kitchen and noticed the smell again. This time I decided to go into the basement and it got worse. I kept walking until I got to the bathroom and then I saw that there was a backup and the shower was full of sewage. When I took off my shoes in order to clean I realized that it had backed up halfway through the basement and the carpet was soaked. The smell was horrible and I was really worried that we wouldn't be able to get rid of it. But I bought some carpet cleaner and powders and vacuumed and ran the fans to dry it out and the smell seems to have gone away. We had to snake out the pipes and hope it won't happen again.",cat7, Smell invading private and public space,invading,invaded private space
"Cat Poop Emergency. We have a long-haired cat and sometimes, poop gets stuck on her fur and she sits down and it smears all over her. It stinks horribly and we cannot really give her a bath. When this happens, the smell is the dead giveaway, and I know that she will NOT let us get it, and that I will have to make an appointment with a groomer and getting her to the groomer is rather nightmarish in itself, although we do try to get some of it off, if we can, it is a horrible mess.",cat7, Smell invading private and public space,invading,invaded private space
Homeless smell. I lost my home. I never been homeless. Then I had to sleep in a subway during the night. It smelt horrible. After sleeping there for 4 hours. The luggage and my body odor was left with the horrible stink.,cat7, Smell invading private and public space,invading,invaded private space
"The Garbage Day Scent. Sometimes the trash piles up, like it did earlier today - and it can smell a bit rotten. My two-bedroom apartment is fairly small, and the location of the trashcan is somewhat central, making it reek through the whole house. It often consists of old food or deterioriating cardboard and plastic.",cat7, Smell invading private and public space,invading,invaded private space
"Crappy Apartment Smell. So I ended up getting kicked out of my friends apartment and was looking for some people to live with. I ended up living with some people who I knew at school. They were REALLY dirty. Like, their apartment consistently smelled of garbage and cigarettes. It was this kind of rotting pizza + feces + cigarette smell + weed smell that at first was really really strong, and you see once you live there you get used to it. My room was really clean so it didn't smell like that, but when you left my room, even though I couldn't really notice it anymore because we became used to it, the smell still sort of lingered, like the burning sensation in the nose? The stagnation. It wasn't a great smell.",cat7, Smell invading private and public space,invading,invaded private space
Doggy No No. I walk into my house and smell a foul odor coming from my living room. I follow the scent to find a gift of poop left behind from my dog on my favorite rug. The smell alone made me feel disgusted and nauseated.,cat7, Smell invading private and public space,invading,invaded private space
"bad fart. One memorable experience I had was with a friend.  It was a long time ago, I was having a sleep over.  He farted in the TV room and it stunk up the whole room like rotten eggs.  The smell was so terrible and overwhelming that I had to leave the room, but the smell lingered for like half an hour.  It was super unpleasant.",cat7, Smell invading private and public space,invading,invaded private space
"Candles gone wrong.. My sister gave me a lot of very small jars of scented wax. They weren't candles, since they didn't have wicks. They were also about two inches tall with the diameter of a quarter, so very small. I set a few around my room to see if they'd freshen it up, and put a coffee scented one in my car. It was summer, and I park my car outside. Of course, the wax melted and I didn't realize it. I tended to take turns pretty fast and often cut the curb on my right turns when I started driving. This caused the melted wax to spill all over. What was at first a nice, pleasant fresh smell now coated my entire dashboard, enough to start to make me dizzy. I had to pull over and stand outside with my windows down to try and vent some of it out and eliminate my starting headache. I ended up throwing the small container away, along with all of the ones I stored around my room just in case.",cat7, Smell invading private and public space,invading,invaded private space
"Why I hate corned beef and cabbage. I remember the first time I smelled my mom making corned beef and cabbage. I walked in from playing outside with neighbors, and the whole house smelled like a rotten shoe. I could not believe how vile that odor was, wafting through every room in the house - even the basement. The pressure cooker was rattling and hissing, shaking violently on the stove as it processed this most heinous concoction. Then my mom got out the corned beef, which made me want to retch. To this day, anytime anyone mentions corned beef and cabbage, I am reminded of that smell. I will never eat cooked cabbage. Ever.",cat7, Smell invading private and public space,invading,invaded private space
"the haunting. I once forgot about a bag of potatoes in the back of a cabinet in the kitchen. The smell would come and go like a toilet had been severely backed up for a very long time. It was right next to the couch where I slept, so it made sleeping difficult. I tried looking for it and cleaning my house, but the smell remained. I considered asking the apartment manager to check if something had happened to the neighbours. A guest tried to walk into the apartment, but she had to leave immediately. Eventually, the smell became so familiar that I forgot about it most of the time, but I still sensed distress and restless sleep. When I finally discovered the source I felt great relief and revulsion. I swore it would never happen again but it did.",cat7, Smell invading private and public space,invading,invaded private space
"Sneaky cat. I remember one time when I was really young, we had a cat that liked to hide things. Well, one time he managed to sneak a few dead animals into the house and hide them in the kitchen behind the fridge. Not sure how long they were there, the smell was faint at first, but over time it became very foul and no matter how many times mom cleaned out the fridge it just kept getting worse. Eventually we found out what was happening and pulled the fridge from the wall and discovered his stash.",cat7, Smell invading private and public space,invading,invaded private space
Race track. When I was a kid we use to go to the 1/4 mile oval track to watch super modifieds and midgets. When you first get there you can smell all types of things bust the main smell is rubber. As they begin to really crank aroudn the track the air is tossed in a heavy breeze off the track and into the stands . All you can smell is burnt rubber for the rest of the night even after you leave as it has saturated into your clothes.,cat7, Smell invading private and public space,invading,invaded public space
"Dog mess in a closed house smells terrible.. My dog was sick. I knew something was wrong as I walked down the stairs and the smell hit me. It was terrible and nearly made me sick. I needed to clean up his mess, but the smell was so strong that it was difficult. I didn't have it in me to be mad at him - it's not his fault he was sick, but I never want to smell that odor again.",cat7, Smell invading private and public space,invading,invaded private space
Gas!. A few years ago I had to take old gas out of my motorcycle. It was the first time I ever really had to deal gas besides at a gas station. The smell of it is very strong. I had to siphon it out of the tank so I had it very close to my face. The smell is very peciluar and definetly wakes up you up. The smell even got into my clothes. I smelt like gas for a couple of hours and ended up taking a shower. I did not enjoy it and was glad when I had finished what I was doing.,cat7, Smell invading private and public space,invading,invaded private space
"Cooking Tripas. Several years ago, my wife and her best friend decided that they were going to make tripas. It is a Mexican dish made from pig intestines. They warned me that it might smell a little bit, but I was not prepared. They started while I was at work. By the time that I got home and walked in the door, the smell had permeated the whole house. I don'y know how to describe it other than a stink. I couldn't even eat them after we aired out the house. They had so much fun preparing them, though. It was one of the last times the two of them got together before my wife passed away.",cat7, Smell invading private and public space,invading,invaded private space
Hot Wing Crap!. I took a crap after eating hot wings. Man do they mess up my stomach! Unpleasant experience indeed!,cat7, Smell invading private and public space,invading,invaded private space
"Scent of Incense and Homas or Scent of Prayer and Fire ceremoni. I walked into my boyfriend's home and instantly smelled the same smell that clung to his clothing most of the time only this smell was much more intense, the smell of incense sticks and of Homas or Vedic fire ceremonies done many times, the lingering odor of worship... of ghee or clarified butter, dried cow dung, camphor, rice, rose petals, and other things offered to the fire.  I breathed in deeply the complex yet comforting odor and then sat down in a semi comfortable chair as he began yet another one of his ceremonies for world peace in his apartment in a community for people who are engaged in various religious practices in the midst of Koreatown Los Angeles only a few feet away from the place where two major gangs draw their boundary lines. We prayed there for continued peace not just there but all over the world. Just as we will do again in the future as this is my friend's daily commitment.",cat7, Smell invading private and public space,invading,invaded private space
"Shit. I was in the school bathroom. All of a sudden, I smelled something really terrible. Someone in a nearby stall was taking a dump and with no vents, there was no way for the disgusting smell to dissipate.",cat7, Smell invading private and public space,invading,invaded public space
Chicken. One time i left my house to go to my mothers house to stay for the weekend and i forgot to put the chicken out and it smelled horribly when i came back the next day it was very embrassing,cat7, Smell invading private and public space,invading,invaded private space
